TxsUploadedTime,PgInsertDate
2017-09-12T12:11:38.011Z,2019-07-29T03:27:55.321Z
2017-09-15T04:14:23.753Z,2019-07-29T03:27:56.020Z
2017-09-20T01:43:00.445Z,2019-07-29T03:27:56.585Z
2017-09-23T05:47:41.790Z,2019-07-29T03:27:57.163Z
2017-09-27T11:26:08.123Z,2019-07-29T03:27:57.669Z
2017-09-28T13:17:01.721Z,2019-07-29T03:27:58.161Z
2017-10-03T12:19:32.590Z,2019-07-29T03:27:58.818Z
2017-10-08T11:31:32.465Z,2019-07-29T03:27:59.626Z
2017-10-13T10:30:10.666Z,2019-07-29T03:28:00.367Z
2017-10-18T10:25:51.562Z,2019-07-29T03:28:01.117Z
2017-10-23T10:12:18.798Z,2019-07-29T03:28:01.814Z
2017-10-28T10:10:15.536Z,2019-07-29T03:28:02.786Z
2017-11-02T10:08:47.784Z,2019-07-29T03:28:04.183Z
2017-11-07T10:06:51.615Z,2019-07-29T03:28:05.853Z
2017-11-12T09:52:02.005Z,2019-07-29T03:28:07.855Z
2017-11-17T09:51:08.398Z,2019-07-29T03:28:09.672Z
2017-11-22T09:50:10.428Z,2019-07-29T03:28:11.318Z
2017-11-27T09:46:57.211Z,2019-07-29T03:28:12.923Z
2017-12-02T09:45:31.956Z,2019-07-29T03:28:14.767Z
2017-12-07T09:41:43.424Z,2019-07-29T03:28:16.969Z
2017-12-12T09:41:31.708Z,2019-07-29T03:28:19.360Z
2017-12-17T09:38:23.220Z,2019-07-29T03:28:21.688Z
2017-12-22T09:37:49.407Z,2019-07-29T03:28:24.012Z
2017-12-27T09:34:52.824Z,2019-07-29T03:28:25.628Z
2018-01-01T09:25:38.103Z,2019-07-29T03:28:27.667Z
2018-01-06T09:24:11.306Z,2019-07-29T03:28:30.303Z
2018-01-11T06:58:25.313Z,2019-07-29T03:28:33.269Z
2018-01-16T06:57:08.663Z,2019-07-29T03:28:36.733Z
2018-01-21T06:52:14.093Z,2019-07-29T03:28:41.261Z
2018-01-26T06:51:36.031Z,2019-07-29T03:28:45.741Z
2018-01-31T06:50:15.956Z,2019-07-29T03:28:50.972Z
2018-02-05T06:49:59.338Z,2019-07-29T03:28:56.607Z
2018-02-10T06:49:53.061Z,2019-07-29T03:29:04.253Z
2018-02-15T06:47:21.625Z,2019-07-29T03:29:08.814Z
2018-02-20T06:43:30.274Z,2019-07-29T03:29:10.558Z
2018-02-23T07:43:00.679Z,2019-07-29T03:29:13.856Z
2018-02-28T07:41:03.095Z,2019-07-29T03:29:19.544Z
2018-03-05T07:41:02.218Z,2019-07-29T03:29:25.916Z
2018-03-10T07:40:09.119Z,2019-07-29T03:29:33.665Z
2018-03-15T07:39:35.271Z,2019-07-29T03:29:40.642Z
2018-03-20T07:39:16.192Z,2019-07-29T03:29:47.718Z
2018-03-25T07:38:28.861Z,2019-07-29T03:29:55.795Z
2018-03-30T07:38:07.789Z,2019-07-29T03:30:03.630Z
2018-04-04T07:35:14.772Z,2019-07-29T03:30:07.446Z
2018-04-09T07:34:44.579Z,2019-07-29T03:30:12.412Z
2018-04-14T07:34:11.234Z,2019-07-29T03:30:19.738Z
2018-04-19T07:33:18.753Z,2019-07-29T03:30:27.149Z
2018-04-24T07:32:14.896Z,2019-07-29T03:30:36.342Z
2018-04-29T07:31:19.985Z,2019-07-29T03:30:45.128Z
2018-05-04T07:30:23.418Z,2019-07-29T03:30:52.797Z
2018-05-09T07:30:18.845Z,2019-07-29T03:31:02.327Z
2018-05-14T07:30:02.262Z,2019-07-29T03:31:10.722Z
2018-05-19T07:28:58.186Z,2019-07-29T03:31:20.828Z
2018-05-24T07:28:43.609Z,2019-07-29T03:31:29.208Z
2018-05-29T07:28:33.825Z,2019-07-29T03:31:39.930Z
2018-06-03T07:26:45.279Z,2019-07-29T03:31:50.156Z
2018-06-08T07:26:31.508Z,2019-07-29T03:32:00.903Z
2018-06-13T07:26:18.873Z,2019-07-29T03:32:10.999Z
2018-06-18T07:26:18.075Z,2019-07-29T03:32:20.676Z
2018-06-23T07:25:52.047Z,2019-07-29T03:32:30.909Z
2018-06-28T07:25:46.075Z,2019-07-29T03:32:42.127Z
2018-07-03T07:25:42.801Z,2019-07-29T03:32:51.272Z
2018-07-08T07:25:41.732Z,2019-07-29T03:33:01.526Z
2018-07-13T07:25:04.740Z,2019-07-29T03:33:12.339Z
2018-07-18T07:24:43.246Z,2019-07-29T03:33:22.460Z
2018-07-23T07:24:28.091Z,2019-07-29T03:33:34.194Z
2018-07-28T07:23:59.875Z,2019-07-29T03:33:45.630Z
2018-08-02T07:22:58.988Z,2019-07-29T03:33:57.580Z
2018-08-07T07:22:47.198Z,2019-07-29T03:34:08.938Z
2018-08-12T07:22:38.048Z,2019-07-29T03:34:21.775Z
2018-08-17T07:22:35.726Z,2019-07-29T03:34:35.736Z
2018-08-22T07:22:31.114Z,2019-07-29T03:34:48.794Z
2018-08-27T07:22:11.223Z,2019-07-29T03:35:03.078Z
2018-09-01T07:21:50.195Z,2019-07-29T03:35:20.601Z
2018-09-06T07:21:44.890Z,2019-07-29T03:35:39.189Z
2018-09-11T07:21:42.712Z,2019-07-29T03:35:58.480Z
2018-09-16T07:21:38.967Z,2019-07-29T03:36:17.570Z
2018-09-21T07:21:35.821Z,2019-07-29T03:36:34.999Z
2018-09-26T07:21:21.958Z,2019-07-29T03:36:50.628Z
2018-10-01T07:21:14.664Z,2019-07-29T03:37:07.909Z
2018-10-06T07:21:06.360Z,2019-07-29T03:37:28.229Z
2018-10-11T07:21:05.086Z,2019-07-29T03:37:48.348Z
2018-10-16T07:20:51.243Z,2019-07-29T03:38:06.939Z
2018-10-21T07:19:36.082Z,2019-07-29T03:38:21.682Z
2018-10-26T07:19:32.640Z,2019-07-29T03:38:42.653Z
2018-10-31T07:19:27.772Z,2019-07-29T03:39:00.747Z
2018-11-05T07:19:19.614Z,2019-07-29T03:39:18.603Z
2018-11-10T07:18:42.389Z,2019-07-29T03:39:40.111Z
2018-11-15T07:18:41.678Z,2019-07-29T03:40:00.869Z
2018-11-20T07:05:47.720Z,2019-07-29T03:40:20.620Z
2018-11-25T07:05:46.438Z,2019-07-29T03:40:42.871Z
2018-11-30T07:05:42.524Z,2019-07-29T03:41:02.856Z
2018-12-05T07:05:35.207Z,2019-07-29T03:41:23.681Z
2018-12-10T07:04:47.754Z,2019-07-29T03:41:44.290Z
2018-12-15T07:04:41.808Z,2019-07-29T03:42:04.057Z
2018-12-20T07:04:38.987Z,2019-07-29T03:42:20.543Z
2018-12-25T07:03:39.783Z,2019-07-29T03:42:32.182Z
2018-12-30T07:03:11.260Z,2019-07-29T03:42:41.889Z
2019-01-04T07:03:00.809Z,2019-07-29T03:42:53.109Z
2019-01-09T07:02:51.921Z,2019-07-29T03:43:09.650Z
2019-01-14T02:18:28.832Z,2019-07-29T03:43:26.552Z
2019-01-19T02:18:06.989Z,2019-07-29T03:43:48.420Z
2019-01-24T02:17:49.240Z,2019-07-29T03:44:07.109Z
2019-01-29T02:17:47.024Z,2019-07-29T03:44:26.016Z
2019-02-03T02:16:03.948Z,2019-07-29T03:44:47.284Z
2019-02-08T02:15:52.683Z,2019-07-29T03:44:55.268Z
2019-02-13T02:15:39.506Z,2019-07-29T03:45:07.066Z
2019-02-18T02:15:29.545Z,2019-07-29T03:45:25.233Z
2019-02-23T02:15:14.958Z,2019-07-29T03:45:47.449Z
2019-02-28T02:14:58.286Z,2019-07-29T03:46:05.696Z
2019-03-05T02:14:55.674Z,2019-07-29T03:46:24.561Z
2019-03-10T02:14:49.629Z,2019-07-29T03:46:46.785Z
2019-03-15T02:14:48.106Z,2019-07-29T03:47:07.162Z
2019-03-20T02:14:00.923Z,2019-07-29T03:47:27.151Z
2019-03-25T02:13:59.795Z,2019-07-29T03:47:47.214Z
2019-03-30T02:13:46.079Z,2019-07-29T03:48:09.953Z
2019-04-04T02:13:18.926Z,2019-07-29T03:48:31.291Z
2019-04-09T02:12:55.481Z,2019-07-29T03:48:48.781Z
2019-04-14T02:12:53.859Z,2019-07-29T03:49:19.686Z
2019-04-19T02:12:51.795Z,2019-07-29T03:49:41.763Z
2019-04-24T02:12:38.194Z,2019-07-29T03:49:53.489Z
2019-04-29T02:12:32.087Z,2019-07-29T03:50:10.182Z
2019-05-04T02:12:28.356Z,2019-07-29T03:50:30.567Z
2019-05-09T02:12:25.929Z,2019-07-29T03:50:50.236Z
2019-05-14T02:12:25.008Z,2019-07-29T03:51:06.789Z
2019-05-19T02:12:21.457Z,2019-07-29T03:51:27.770Z
2019-05-24T02:12:20.973Z,2019-07-29T03:51:51.898Z
2019-05-29T02:12:10.409Z,2019-07-29T03:52:17.363Z
2019-06-03T02:12:05.603Z,2019-07-29T03:52:37.953Z
2019-06-08T02:12:01.964Z,2019-07-29T03:53:00.993Z
2019-06-13T02:12:00.375Z,2019-07-29T03:53:19.261Z
2019-06-18T02:11:50.954Z,2019-07-29T03:53:41.616Z
2019-06-23T02:11:41.460Z,2019-07-29T03:54:05.089Z
2019-06-28T02:11:28.105Z,2019-07-29T03:54:27.008Z
2019-07-03T02:11:07.789Z,2019-07-29T03:54:44.660Z
2019-07-08T02:11:03.934Z,2019-07-29T03:55:04.403Z
2019-07-13T02:09:56.468Z,2019-07-29T03:55:27.242Z
2019-07-18T02:09:54.782Z,2019-07-29T03:55:48.889Z
2019-07-23T02:09:42.318Z,2019-07-29T03:56:10.567Z
2019-07-28T02:08:17.915Z,2019-07-29T03:56:35.375Z
2019-07-29T03:56:14.400Z,2019-07-29T03:56:41.010Z
2019-07-29T03:56:41.107Z,2019-07-29T03:56:43.003Z
2019-08-02T01:36:49.842Z,2019-08-02T01:37:24.536Z 
2019-08-02T01:37:21.984Z,2019-08-02T01:37:27.587Z 
2019-08-03T00:09:52.305Z,2019-08-03T00:11:15.074Z 
2019-08-04T00:10:11.877Z,2019-08-04T00:11:19.273Z 
2019-08-05T00:10:58.346Z,2019-08-05T00:11:13.765Z 
2019-08-06T00:10:58.533Z,2019-08-06T00:11:21.740Z 
2019-08-09T02:43:56.602Z,2019-08-09T02:44:14.259Z 
2019-08-09T02:44:07.498Z,2019-08-09T02:44:17.582Z 
2019-08-12T04:11:02.090Z,2019-08-12T04:11:22.619Z 
2019-08-12T04:11:18.439Z,2019-08-12T04:11:24.329Z 
2019-08-13T23:59:14.006Z,2019-08-14T00:00:00.134Z 
2019-08-14T23:59:47.479Z,2019-08-14T23:59:59.765Z 
2019-08-15T23:59:22.587Z,2019-08-15T23:59:58.940Z 
2019-08-20T01:24:30.069Z,2019-08-20T01:24:51.153Z 
2019-08-20T01:24:42.547Z,2019-08-20T01:24:54.590Z 
2019-08-20T01:24:53.790Z,2019-08-20T01:24:57.988Z 
2019-08-20T07:56:06.540Z,2019-08-20T07:56:31.491Z 
2019-08-20T07:56:30.202Z,2019-08-20T07:56:35.194Z 
2019-08-20T23:59:40.256Z,2019-08-20T23:59:59.951Z 
2019-08-25T23:57:16.202Z,2020-03-10T08:12:55.799Z 
2019-08-30T23:55:19.756Z,2020-03-10T08:13:23.332Z 
2019-09-04T23:54:15.601Z,2020-03-10T08:13:48.427Z 
2019-09-09T23:53:25.166Z,2020-03-10T08:14:15.291Z 
2019-09-14T20:59:56.910Z,2020-03-10T08:14:46.628Z 
2019-09-19T20:59:35.744Z,2020-03-10T08:15:15.329Z 
2019-09-24T20:58:40.033Z,2020-03-10T08:15:43.948Z 
2019-09-29T20:56:19.123Z,2020-03-10T08:16:11.758Z 
2019-10-04T20:50:33.311Z,2020-03-10T08:20:19.437Z 
2019-10-09T20:38:18.103Z,2020-03-10T08:20:38.197Z 
2019-10-14T20:34:39.859Z,2020-03-10T08:21:02.784Z 
2019-10-19T20:34:38.957Z,2020-03-10T08:21:34.165Z 
2019-10-24T20:34:01.225Z,2020-03-10T08:22:02.569Z 
2019-10-29T20:28:25.104Z,2020-03-10T08:22:32.906Z 
2019-11-03T20:25:31.963Z,2020-03-10T08:23:03.327Z 
2019-11-08T20:25:16.775Z,2020-03-10T08:23:48.572Z 
2019-11-13T20:15:47.428Z,2020-03-10T08:24:40.758Z 
2019-11-18T20:14:16.311Z,2020-03-10T08:25:01.764Z 
2019-11-23T20:14:06.749Z,2020-03-10T08:25:31.523Z 
2019-11-28T20:12:56.799Z,2020-03-10T08:26:00.489Z 
2019-12-03T20:12:13.031Z,2020-03-10T08:26:31.154Z 
2019-12-08T20:11:14.735Z,2020-03-10T08:27:07.469Z 
2019-12-13T20:04:46.120Z,2020-03-10T08:27:43.433Z 
2019-12-18T20:03:35.657Z,2020-03-10T08:28:11.090Z 
2019-12-23T20:01:22.820Z,2020-03-10T08:28:35.470Z 
2019-12-28T20:00:51.723Z,2020-03-10T08:28:51.224Z 
2020-01-02T19:57:25.165Z,2020-03-10T08:29:08.441Z 
2020-01-07T19:54:46.889Z,2020-03-10T10:35:29.443Z 
2020-01-12T19:51:04.477Z,2020-03-10T10:36:01.369Z 
2020-01-17T19:50:50.060Z,2020-03-10T10:36:38.282Z 
2020-01-22T19:50:27.268Z,2020-03-10T10:37:10.610Z 
2020-01-27T19:46:42.732Z,2020-03-10T10:37:30.377Z 
2020-02-01T19:45:55.607Z,2020-03-10T10:37:42.498Z 
2020-02-06T19:43:01.272Z,2020-03-10T10:37:57.952Z 
2020-02-11T19:36:47.362Z,2020-03-10T10:38:12.176Z 
2020-02-16T19:34:18.473Z,2020-03-10T10:38:27.378Z 
2020-02-21T19:33:24.796Z,2020-03-10T10:38:47.100Z 
2020-02-26T19:29:51.798Z,2020-03-10T10:39:04.040Z 
2020-03-02T19:29:33.942Z,2020-03-10T10:39:21.735Z 
2020-03-07T19:28:11.297Z,2020-03-10T10:39:41.493Z 
2020-03-10T10:39:33.657Z,2020-03-10T10:39:51.148Z 
2020-03-11T00:02:09.250Z,2020-03-11T00:02:20.796Z 
2020-03-12T00:02:30.186Z,2020-03-12T00:02:44.587Z 
